Gross,Net,NettoGross,Av_Porosit,Sw,Av_Shc,Phih,SoPhi,SoPhih,Av_Permeab,LLx,LLy
62,11.5,0.185,0.106,0.361,0.639,1.22,0.06773,0.778941,2.072,1793872.71,13420516.74
52,19.5,0.375,0.084,0.432,0.568,1.64,0.04771,0.930384,0.184,1854255.995,13458816
56,9,0.161,0.112,0.528,0.472,1.01,0.05286,0.475776,0.3,1853075.61,13451079.66
54,14.5,0.269,0.112,0.4,0.6,1.62,0.0672,0.9744,2.314,1884625.09,13402260.02
65,36.499,0.562,0.102,0.417,0.583,3.72,0.05947,2.170449534,0.387,1836095.8,13422703.34
93,43.5,0.468,0.073,0.41,0.59,3.18,0.04307,1.873545,0.057,1858450.08,13430261.86
38,28.5,0.75,0.111,0.474,0.526,3.16,0.05839,1.664001,0.399,1853012.52,13412756.36
73,62,0.849,0.13,0.347,0.653,8.06,0.08489,5.26318,15.418,1855929.675,13458148.31
77,8.5,0.11,0.063,0.492,0.508,0.54,0.032,0.272034,0.013,1952241.51,13472569.14
90,28,0.311,0.067,0.576,0.424,1.88,0.02841,0.795424,0.054,1947569.83,13514025.73
99,56,0.566,0.086,0.486,0.514,4.82,0.0442,2.475424,0.234,1815125.6,13404995.36
63,53.5,0.849,0.094,0.396,0.604,5.03,0.05678,3.037516,0.404,1824892.71,13419533.11
42,26.5,0.631,0.113,0.413,0.587,2.99,0.06633,1.7577715,1.169,1857183.91,13463858.25
52,28,0.538,0.138,0.538,0.462,3.86,0.06376,1.785168,1.345,1819084.39,13461496.99
37,28.5,0.77,0.119,0.604,0.396,3.39,0.04712,1.343034,0.814,1866068.9,13480024.35
20,18.5,0.925,0.154,0.473,0.527,2.85,0.08116,1.501423,1.293,1777283.78,13430377.12
59,32.5,0.551,0.087,0.471,0.529,2.83,0.04602,1.4957475,0.192,1857134.84,13458838.35
16,15.991,0.999,0.193,0.493,0.507,3.09,0.09785,1.564735341,4.406,1758290.93,13413854.04
68,25.499,0.375,0.112,0.457,0.543,2.86,0.06082,1.550747184,0.871,1824273.67,13414193.3
76,48.499,0.638,0.102,0.562,0.438,4.95,0.04468,2.166741324,0.229,1832193.45,13414272.19
31,10.001,0.323,0.088,0.362,0.638,0.88,0.05614,0.561496144,0.127,1839889.98,13394100.69
58,10,0.172,0.09,0.665,0.335,0.9,0.03015,0.3015,0.163,1932376.89,13507799.85
27,11.995,0.444,0.235,0.632,0.368,2.82,0.08648,1.0373276,12.756,1867192.903,13495786.93
47,37.5,0.798,0.141,0.549,0.451,5.29,0.06359,2.3846625,1.66,1865410.16,13480026.26
56,16.5,0.295,0.112,0.606,0.394,1.85,0.04413,0.728112,0.461,1932748.14,13515906.74
32,14,0.438,0.081,0.44,0.56,1.13,0.04536,0.63504,0.274,1855615.41,13470066.23
52,36,0.692,0.075,0.495,0.505,2.7,0.03788,1.3635,0.075,1871661.53,13478374.35
34.411,23.411,0.68,0.326,0.635,0.365,7.63,0.11899,2.78567489,217.686,1937308.992,13475884.92
27.212,17,0.625,0.273,0.679,0.321,4.64,0.08763,1.489761,36.851,1978836.41,13424317.27
54,20.509,0.38,0.088,0.468,0.532,1.8,0.04682,0.960149344,0.332,1907191.99,13425314.32
64,5.5,0.086,0.055,0.309,0.691,0.3,0.03801,0.2090275,0.016,1927358.89,13426767.18
7,6.491,0.927,0.261,0.412,0.588,1.69,0.15347,0.996160788,29.485,1953079.56,13420117.38
10,6,0.6,0.064,0.417,0.583,0.38,0.03731,0.223872,0.011,1977855.12,13399454.04
1,0.5,0.5,0.068,0.677,0.323,0.03,0.02196,0.010982,0.007,1913353.68,13388400.13
54,32.009,0.593,0.075,0.487,0.513,2.4,0.03848,1.231546275,0.058,1904556.05,13427935.37
15,13,0.867,0.134,0.502,0.498,1.74,0.06673,0.867516,0.588,1930719.31,13499828.7
48,48,1,0.114,0.251,0.749,5.47,0.08539,4.098528,0.735,1754466.5,13387481.02
27,26,0.963,0.126,0.516,0.484,3.28,0.06098,1.585584,0.496,1948253.31,13495027.93
